n,time,Logn*0.20530613-3.50701963,,sqrt(n)*0.00091436-0.36456361,,n*5.32426343e-07-0.03404061,,n*logn*2.51191636e-08-0.00921627,,n^2*2.49048274e-13-0.16664807,,n^3*1.24528471e-19-0.24964701,
1840000,0.927,0.765662564211684,0.026029768186749,0.875734638674084,0.002628137271877,0.94562386112,0.000346848203017,0.952665450759467,0.000658715362687,0.6765297664544,0.062735337892388,0.526103598208384,0.160717924969465
1860000,0.639,0.76886469416238,0.016864838789889,0.882457171645599,0.059271394425675,0.95627238798,0.100661768174532,0.963849397568509,0.105527131100623,0.6949593387304,0.003131447591144,0.551675768785176,0.00762552135726
1880000,1.016,0.772032576077468,0.059520103935396,0.88914365808454,0.016092531484172,0.96692091484,0.002408756600143,0.975041137924028,0.001677628382558,0.7135881496256,0.091452927246869,0.577803834456512,0.192015879497016
1900000,1.187,0.775166934803611,0.169606473589053,0.895794671696121,0.08480054323257,0.9775694417,0.04386115874985,0.986240588912812,0.040304341140075,0.73241619914,0.206646432004324,0.604493772589,0.339313504972596
1920000,1.37,0.778268472416572,0.350146200736218,0.902410771126943,0.2186396869581,0.98821796856,0.145757519530453,0.997447669367286,0.138795239059867,0.7514434872736,0.382612159436245,0.631751560549248,0.545010758351471
1940000,0.836,0.781337869165129,0.002987948547409,0.908992500512607,0.005327905131083,0.99886649542,0.026525495330393,1.00866229981096,0.029812269776009,0.7706700140264,0.004268007067311,0.659583175703864,0.031122895894734
1960000,0.988,0.784375784366585,0.041462821192323,0.91554039,0.005250395081352,1.00951502228,0.000462896183709,1.01988440240612,0.001016615116795,0.7900957793984,0.039166080531927,0.687994595419456,0.090003242777536
1980000,1.098,0.787382857256814,0.096483009365941,0.922054956245645,0.030956658421722,1.02016354914,0.006058513082481,1.03111390090366,0.004473750252326,0.8097207833896,0.083104906729506,0.716991797062632,0.145167250705563
2000000,1.357,0.790359707797583,0.32108122074724,0.928536702891463,0.183580796969118,1.030812076,0.10639856176343,1.04235072059494,0.099004169030121,0.829545026,0.278208749597341,0.746580758,0.372611651003854
,,,0.061340233326712,,0.045621026677431,,0.041662631716712,,0.041640548358528,,0.157367627316847,,0.303194943543187
